Vx	Vy	Vz	Wx	Wy	Wz	fi	psi	teta	Ksi	Eta	Dzeta	T	Tng	Tkg	Tnb	Tkb	Lat	Long
2.000	0.000	0.001	-0.000	-0.000	-0.008	-0.072	-0.462	-0.256	167.977	-48.278	80.843	929.126	100.000	-100.000	-100.000	100.000	69.219857	16.458425
2.000	0.003	-0.000	0.000	-0.003	-0.005	-0.073	-0.465	-0.259	169.707	-48.785	81.707	929.126	-100.000	100.000	-100.000	100.000	69.219873	16.458447
2.000	0.005	-0.002	0.000	-0.001	-0.003	-0.074	-0.468	-0.263	171.434	-49.298	82.576	929.126	-100.000	100.000	100.000	-100.000	69.219888	16.458469
2.000	0.006	-0.003	0.000	-0.003	0.001	-0.075	-0.471	-0.264	173.158	-49.815	83.449	929.126	100.000	-100.000	100.000	-100.000	69.219904	16.458491
2.000	0.005	-0.002	0.000	0.003	0.005	-0.074	-0.470	-0.264	174.881	-50.332	84.323	929.126	-100.000	100.000	100.000	-100.000	69.219919	16.458513
2.000	0.004	-0.001	0.000	0.001	-0.004	-0.074	-0.467	-0.264	176.606	-50.848	85.193	929.126	-100.000	100.000	-100.000	100.000	69.219935	16.458535
2.000	0.004	0.001	0.000	0.003	0.000	-0.073	-0.463	-0.264	178.332	-51.366	86.060	929.126	100.000	-100.000	100.000	-100.000	69.219950	16.458557
2.000	0.006	0.002	-0.000	0.001	-0.001	-0.072	-0.461	-0.269	180.060	-51.887	86.922	929.126	100.000	-100.000	100.000	-100.000	69.219966	16.458579
2.000	0.006	0.002	-0.000	-0.006	0.006	-0.073	-0.463	-0.267	181.787	-52.412	87.783	929.126	100.000	-100.000	100.000	-100.000	69.219981	16.458601
2.000	0.003	-0.000	-0.000	-0.001	0.000	-0.073	-0.465	-0.265	183.514	-52.932	88.648	929.126	100.000	-100.000	100.000	-100.000	69.219997	16.458623
2.000	0.003	-0.002	-0.000	0.001	-0.000	-0.074	-0.468	-0.264	185.239	-53.452	89.517	929.126	-100.000	100.000	-100.000	100.000	69.220012	16.458645
2.000	0.003	-0.001	-0.000	-0.001	0.005	-0.074	-0.467	-0.265	186.963	-53.973	90.386	929.126	100.000	-100.000	100.000	-100.000	69.220028	16.458667
2.000	0.001	-0.001	-0.000	-0.001	-0.001	-0.074	-0.467	-0.263	188.688	-54.492	91.254	929.126	100.000	-100.000	-100.000	100.000	69.220043	16.458689
2.000	0.002	-0.001	-0.000	-0.004	-0.001	-0.074	-0.468	-0.264	190.413	-55.012	92.123	929.126	-100.000	100.000	-100.000	100.000	69.220059	16.458711
2.000	0.003	-0.002	-0.000	0.000	-0.004	-0.074	-0.469	-0.266	192.136	-55.533	92.994	929.126	100.000	-100.000	-100.000	100.000	69.220074	16.458733
2.000	0.004	-0.002	-0.000	-0.002	-0.003	-0.075	-0.471	-0.268	193.858	-56.058	93.866	929.126	-100.000	100.000	-100.000	100.000	69.220090	16.458755
2.000	0.005	-0.002	-0.000	0.001	-0.005	-0.075	-0.471	-0.271	195.577	-56.586	94.740	929.126	-100.000	100.000	-100.000	100.000	69.220105	16.458777
2.000	0.009	-0.002	0.000	0.002	-0.005	-0.075	-0.472	-0.279	197.295	-57.123	95.613	929.126	-100.000	100.000	100.000	-100.000	69.220121	16.458799
2.000	0.011	-0.001	0.000	-0.002	-0.003	-0.075	-0.472	-0.283	199.010	-57.668	96.485	929.126	100.000	-100.000	100.000	-100.000	69.220136	16.458822
2.000	0.011	-0.002	0.000	-0.001	0.006	-0.076	-0.474	-0.284	200.723	-58.218	97.359	929.126	100.000	-100.000	100.000	-100.000	69.220152	16.458844
2.000	0.008	-0.001	0.000	-0.002	0.006	-0.075	-0.473	-0.280	202.436	-58.766	98.232	929.126	-100.000	100.000	-100.000	100.000	69.220167	16.458866
2.000	0.005	-0.002	-0.000	-0.000	0.000	-0.076	-0.475	-0.277	204.150	-59.309	99.109	929.126	-100.000	100.000	-100.000	100.000	69.220182	16.458888
